fecha,producto_id,categoria,tipo_demanda,ventas_diarias,promocion_activa,campana_marketing
2018-07-01,1,Alimentos,Constante,377,Ninguna,Ninguna
2018-07-02,1,Alimentos,Constante,254,Ninguna,Ninguna
2018-07-03,1,Alimentos,Constante,283,Ninguna,Ninguna
2018-07-04,1,Alimentos,Constante,309,Ninguna,Ninguna
2018-07-05,1,Alimentos,Constante,257,Ninguna,Ninguna
2018-07-06,1,Alimentos,Constante,254,Ninguna,Ninguna
2018-07-07,1,Alimentos,Constante,338,Ninguna,Ninguna
2018-07-08,1,Alimentos,Constante,334,Ninguna,Ninguna
2018-07-09,1,Alimentos,Constante,300,Ninguna,Ninguna
2018-07-10,1,Alimentos,Constante,280,Ninguna,Ninguna
2018-07-11,1,Alimentos,Constante,235,Ninguna,Ninguna
2018-07-12,1,Alimentos,Constante,248,Ninguna,Ninguna
2018-07-13,1,Alimentos,Constante,267,Ninguna,Ninguna
2018-07-14,1,Alimentos,Constante,322,Ninguna,Ninguna
2018-07-15,1,Alimentos,Constante,322,Ninguna,Ninguna
2018-07-16,1,Alimentos,Constante,318,Ninguna,Ninguna
2018-07-17,1,Alimentos,Constante,260,Ninguna,Ninguna
2018-07-18,1,Alimentos,Constante,290,Ninguna,Ninguna
2018-07-19,1,Alimentos,Constante,295,Ninguna,Ninguna
2018-07-20,1,Alimentos,Constante,240,Ninguna,Ninguna
2018-07-21,1,Alimentos,Constante,332,Ninguna,Ninguna
2018-07-22,1,Alimentos,Constante,308,Ninguna,Ninguna
2018-07-23,1,Alimentos,Constante,298,Ninguna,Ninguna
2018-07-24,1,Alimentos,Constante,263,Ninguna,Ninguna
2018-07-25,1,Alimentos,Constante,273,Ninguna,Ninguna
2018-07-26,1,Alimentos,Constante,254,Ninguna,Ninguna
2018-07-27,1,Alimentos,Constante,288,Ninguna,Ninguna
2018-07-28,1,Alimentos,Constante,309,Ninguna,Ninguna
2018-07-29,1,Alimentos,Constante,400,Ninguna,Ninguna
2018-07-30,1,Alimentos,Constante,263,Ninguna,Ninguna
2018-07-31,1,Alimentos,Constante,260,Ninguna,Ninguna
2018-08-01,1,Alimentos,Constante,269,Ninguna,Ninguna
2018-08-02,1,Alimentos,Constante,275,Ninguna,Ninguna
2018-08-03,1,Alimentos,Constante,274,Ninguna,Ninguna
2018-08-04,1,Alimentos,Constante,317,Ninguna,Ninguna
2018-08-05,1,Alimentos,Constante,278,Ninguna,Ninguna
2018-08-06,1,Alimentos,Constante,284,Ninguna,Ninguna
2018-08-07,1,Alimentos,Constante,257,Ninguna,Ninguna
2018-08-08,1,Alimentos,Constante,273,Ninguna,Ninguna
2018-08-09,1,Alimentos,Constante,251,Ninguna,Ninguna
2018-08-10,1,Alimentos,Constante,272,Ninguna,Ninguna
2018-08-11,1,Alimentos,Constante,312,Ninguna,Ninguna
2018-08-12,1,Alimentos,Constante,292,Ninguna,Ninguna
2018-08-13,1,Alimentos,Constante,251,Ninguna,Ninguna
2018-08-14,1,Alimentos,Constante,308,Ninguna,Ninguna
2018-08-15,1,Alimentos,Constante,251,Ninguna,Ninguna
2018-08-16,1,Alimentos,Constante,273,Ninguna,Ninguna
2018-08-17,1,Alimentos,Constante,246,Ninguna,Ninguna
2018-08-18,1,Alimentos,Constante,292,Ninguna,Ninguna
2018-08-19,1,Alimentos,Constante,290,Ninguna,Ninguna
2018-08-20,1,Alimentos,Constante,231,Ninguna,Ninguna
2018-08-21,1,Alimentos,Constante,248,Ninguna,Ninguna
2018-08-22,1,Alimentos,Constante,251,Ninguna,Ninguna
2018-08-23,1,Alimentos,Constante,242,Ninguna,Ninguna
2018-08-24,1,Alimentos,Constante,309,Ninguna,Ninguna
2018-08-25,1,Alimentos,Constante,386,Ninguna,Ninguna
